MES,TOTAL
ene-14,40.458
feb-14,41.040
mar-14,41.561
abr-14,42.165
may-14,42.848
jun-14,43.392
jul-14,43.926
ago-14,44.457
sept-14,45.044
oct-14,45.678
nov-14,46.189
dic-14,46.749
ene-15,47.858
feb-15,48.267
mar-15,48.770
abr-15,49.309
may-15,49.884
jun-15,50.398
jul-15,50.984
ago-15,51.511
sept-15,52.201
oct-15,52.830
nov-15,53.545
dic-15,54.209
ene-16,54.549
feb-16,55.018
mar-16,55.549
abr-16,56.159
may-16,56.798
jun-16,57.415
jul-16,57.959
ago-16,58.595
sept-16,59.217
oct-16,59.856
nov-16,60.212
dic-16,61.311
ene-17,61.495
feb-17,62.210
mar-17,62.813
abr-17,63.336
may-17,63.916
jun-17,64.500
jul-17,65.007
ago-17,65.617
sept-17,66.231
oct-17,66.711
nov-17,67.230
dic-17,68.381
ene-18,68.521
feb-18,68.770
mar-18,69.892
abr-18,70.524
may-18,71.263
jun-18,71.973
jul-18,72.634
ago-18,73.382
sept-18,74.078
oct-18,74.886
nov-18,75.666
dic-18,76.499
ene-19,76.830
feb-19,77.304
mar-19,77.894
abr-19,78.495
may-19,79.302
jun-19,80.030
jul-19,80.744
ago-19,81.563
sept-19,82.391
oct-19,83.186
nov-19,83.793
dic-19,84.632
ene-20,85.017
feb-20,85.638
mar-20,85.907
abr-20,85.996
may-20,86.211
jun-20,86.553
jul-20,86.827
ago-20,87.089
sept-20,87.434
oct-20,88.020
nov-20,88.609
dic-20,89.393
ene-21,89.885
