Mes;Animales vivos;Carnes y despojos comestibles;Pescados y crustáceos, moluscos e invertebrados acuáticos;Leche y productos lácteos, huevos, miel;Demás productos de origen animal;Plantas vivas y productos de la floricultura;Legumbres y hortalizas, plantas, raíces y tubérculos;Frutos comestibles, cortezas de agrios o melones;Café, té, yerba mate y especias;Cereales;Productos de molinería, malta, almidón y fécula;Semillas y frutos oleaginosos, forrajes;Gomas, resinas, y demás jugos y extractos vegetales;Materias trenzables y demás productos vegetales;Grasas y aceites animales o vegetales;Preparaciones de carne, pescado, crustáceos, moluscos;Azúcares y artículos confitería;Cacao y sus preparaciones;Preparaciones a base de cereal, harina, leche; pastelería;Preparaciones de legumbres u hortalizas, frutos, otras;Preparaciones alimenticias diversas;Bebidas, líquidos alcohólicos y vinagre ;Residuos industrias alimentarias. Alimentos para animales;Tabaco, sucedáneos del tabaco elaborados;Sal; azufre; tierras y piedras; yesos, cales y cementos;Minerales, escorias y cenizas;Combustibles y aceites minerales y sus productos;Productos químicos inorgánicos;Productos químicos orgánicos;Productos farmacéuticos;Abonos;Extractos curtientes, pinturas, tintas;Aceites esenciales, perfumería, cosméticos;Jabones, ceras artificiales, pastas;Materias albuminoideas, colas;Pólvoras, explosivos, fósforos;Productos fotográficos, cinematográficos;Productos diversos de las industrias químicas;Materias plásticas y manufacturas;Caucho y manufacturas;Pieles y cueros;Manufacturas de cuero, artículos de viaje, bolsos;Peletería y confecciones;Madera, carbón vegetal y manufacturas de madera;Corcho y sus manufacturas;Manufactura de espartería y cestería;Pastas de madera, desperdicios de papel o cartón;Papel, cartón y sus manufacturas;Productos editoriales, prensa, textos;Seda;Lana y pelo fino u ordinario; hilados y tejidos de crin;Algodón;Demás fibras vegetales, hilados de papel;Filamentos sintéticos o artificiales;Fibras sintéticas o artificiales discontinuas;Guata, fieltro y telas sin tejer; cordeles ,cuerdas, cordajes;Alfombras y materias textiles;Tejidos especiales, superficies textiles con pelo;Tejidos impregnados, recubiertos;Tejidos de punto;Prendas y complementos de vestir, de punto;Prendas y complementos de vestir, excepto de punto;Demás artículos textiles confeccionados;Calzado, botines, artículos análogos y partes;Artículos de sombrerería y partes;Paraguas, bastones, látigos y sus partes;Plumas, flores artificiales; manufactura de cabellos;Manufacturas de piedra, yeso, cemento, mica y análogas;Productos cerámicos;Vidrio y manufacturas;Perlas finas, piedras y metales preciosos;Fundición, hierro y acero;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Níquel y sus manufacturas;Aluminio y sus manufacturas;Plomo y manufacturas;Zinc y manufacturas;Estaño y manufacturas;Demás metales comunes, "cermets" y manufacturas;Herramientas y útiles, cuchillería y cubiertos;Manufacturas diversas de metales comunes;Reactores nucleares, calderas, máquinas y partes;Aparatos y material eléctrico, de grabación o imagen;Vehículos y material para vía férrea, aparatos de señalización;Vehículos automóviles, tractores, ciclos, partes y accesorios;Navegación aérea o espacial;Navegación marítima o fluvial;Instrumentos y aparatos de óptica, fotografía, cinematografía;Relojería;Instrumentos de música, partes y accesorios;Armas y municiones, sus partes y accesorios;Muebles;Juguetes, artículos para recreo, deporte; partes y accesorios;Manufacturas diversas;Objetos de arte, de colección o de antigüedad;Disposiciones de tratamiento especial;Total exportaciones
enero-08;5.657;48.380;12.821;5.557;9.201;68.820;7.126;59.072;202.093;457;2.471;1.148;40;223;7.502;3.189;34.625;5.837;8.386;3.030;24.531;4.245;1.097;1.838;31.465;18.041;1.204.196;8.996;12.539;26.342;4.444;9.836;28.594;8.708;2.754;37;31;16.304;114.238;11.676;22.648;7.490;298;6.367;0;61;29;51.581;17.397;0;185;9.251;42;4.801;8.320;3.602;548;1.830;3.346;14.461;67.094;54.578;17.126;7.446;1.232;96;9;6.395;21.448;10.932;101.910;178.407;19.646;25.396;2;13.938;380;0;0;0;3.277;4.311;33.425;43.304;47;27.031;4.944;83;4.849;46;0;0;21.078;2.458;3.148;154;316; 2.842.306 
febrero-08;2.045;56.100;22.415;6.326;17.558;107.476;9.067;47.397;205.438;1.028;2.082;723;54;25;31.511;3.380;34.157;5.316;8.968;3.309;22.381;3.334;1.242;2.905;22.510;9.052;1.130.176;8.212;13.909;28.197;4.098;11.851;31.475;8.469;4.053;40;88;18.981;103.883;15.408;33.006;9.977;331;6.907;2;43;97;42.006;18.296;0;155;7.716;4;6.409;6.300;2.546;1.448;2.734;3.574;14.101;50.667;52.657;15.538;10.218;3.570;7;8;4.671;21.857;14.822;110.514;103.648;24.877;30.211;3.892;19.102;431;8;0;0;4.931;4.493;37.583;47.380;16;49.758;11.751;89;6.613;92;28;2;25.161;1.577;5.489;104;412; 2.822.470 
marzo-08;2.312;41.101;16.945;5.522;8.904;87.698;7.206;44.813;190.894;313;2.559;678;27;368;37.432;3.718;36.424;8.812;8.677;2.585;23.070;4.027;2.671;4.718;20.457;1.937;1.470.432;9.455;15.646;34.233;3.475;19.464;34.587;11.594;3.993;199;49;22.542;111.192;16.742;33.852;8.003;140;6.642;1;9;66;45.426;16.239;0;330;6.824;11;6.445;4.609;3.097;434;3.271;3.608;14.910;44.584;44.875;14.921;11.400;1.143;1;26;6.303;18.654;13.957;92.054;18.335;24.023;34.121;11;24.062;1.389;1;0;120;5.068;5.159;50.883;43.089;31;36.032;7.158;345;5.997;108;71;61;22.055;1.610;7.645;28;581; 3.007.288 
abril-08;775;37.769;20.792;8.033;11.475;134.874;8.779;74.030;169.211;755;3.124;2.602;32;158;55.735;2.227;42.240;7.618;11.089;3.742;29.274;5.994;1.699;2.913;26.029;16.360;1.514.225;8.167;14.771;33.752;3.589;16.026;41.638;12.234;3.651;50;99;22.395;121.131;19.380;28.903;8.311;324;6.480;27;25;54;57.718;18.832;0;134;12.359;45;7.698;6.190;3.389;435;4.136;3.733;38.397;50.630;51.284;15.594;16.214;882;5;60;6.081;16.991;12.599;114.397;120.486;20.818;27.790;46;23.709;905;90;3;52;4.744;7.640;50.528;41.809;56;45.803;14.567;790;6.975;92;0;75;18.021;2.293;7.312;65;391; 3.365.420 
mayo-08;843;40.385;15.911;9.582;10.024;109.802;6.267;69.682;151.000;589;2.147;1.527;62;183;45.256;4.991;45.212;7.863;11.424;3.677;31.478;4.865;1.801;5.403;16.797;10.631;1.653.364;6.567;15.736;30.501;4.094;20.704;38.802;11.958;3.551;147;144;26.360;112.231;21.352;32.131;6.913;230;4.024;13;28;0;56.512;20.030;0;243;9.225;14;4.782;6.612;3.007;696;3.125;4.498;21.011;72.158;60.368;10.420;13.207;576;26;9;5.881;18.022;14.205;111.864;78.954;24.808;37.729;698;19.861;1.298;93;0;0;6.488;6.416;36.258;47.370;29;57.953;7.190;3.602;4.848;138;40;183;16.329;1.431;7.800;42;317; 3.392.615 
junio-08;1.649;55.021;17.056;11.323;17.364;70.434;7.998;79.591;163.500;149;2.287;801;263;159;46.279;4.035;33.100;5.534;10.898;3.936;31.765;5.972;2.226;4.799;15.779;13.391;1.988.027;8.799;13.951;31.945;5.056;14.790;36.570;13.241;3.417;3;110;27.196;111.129;16.671;24.033;8.607;66;4.668;16;20;10;49.717;19.678;0;164;9.060;33;4.992;5.501;2.806;358;3.214;3.977;13.460;50.461;52.898;8.571;12.111;503;16;23;6.545;17.201;16.003;93.545;139.707;28.134;28.755;36;17.309;206;5;0;10;8.533;4.915;43.999;47.672;38;30.306;11.302;125;4.505;143;39;17;15.093;2.934;6.766;68;564; 3.675.654 
julio-08;2.118;52.554;23.751;13.543;15.529;117.939;9.535;62.790;175.861;225;1.696;893;1.171;301;52.712;3.366;42.651;6.553;13.545;4.466;34.785;4.405;3.464;4.549;12.573;10.464;1.848.528;11.035;20.068;35.538;8.126;28.969;38.984;14.431;3.648;89;307;29.164;138.696;18.251;28.908;7.659;426;4.462;4;25;43;64.938;19.967;0;164;11.816;18;7.656;7.721;3.804;754;6.474;5.090;13.820;49.096;53.972;8.446;13.245;449;1;37;7.564;21.373;15.799;122.369;131.537;31.398;30.896;1.497;20.757;156;0;0;2;8.079;5.095;58.608;59.377;8;55.416;17.658;379;7.210;207;30;16;17.329;3.778;7.982;243;656; 3.801.685 
agosto-08;2.542;58.194;13.420;13.006;10.719;129.566;10.100;64.845;119.140;471;2.273;2.236;30;74;45.459;1.969;25.659;4.524;13.872;2.860;20.502;4.410;2.562;1.966;8.884;13.021;1.663.786;11.578;17.518;29.832;7.617;11.938;33.285;11.427;3.098;92;42;23.393;122.403;15.510;25.523;8.394;216;5.668;48;8;72;41.294;15.436;0;232;8.034;14;4.717;6.093;4.887;195;7.781;3.083;11.122;46.809;48.669;8.760;15.166;338;2;37;4.130;18.644;12.322;103.070;84.949;32.857;24.610;2.843;16.668;996;1;0;33;8.339;5.494;48.434;45.403;0;59.269;8.527;730;4.583;183;28;2.583;14.831;2.412;5.198;21;609; 3.294.187 
septiembre-08;3.199;73.122;13.273;11.932;5.605;79.791;3.974;59.189;131.771;482;1.313;602;10;29;22.419;3.586;30.239;6.046;8.790;3.118;21.381;3.673;2.093;2.268;18.313;3.737;1.627.066;10.658;10.727;20.870;3.665;13.624;27.938;11.257;3.692;52;54;13.807;109.644;16.298;27.107;3.848;32;4.340;66;5;99;51.937;14.662;0;53;10.929;0;7.228;4.454;3.281;191;3.566;4.238;12.356;36.797;41.321;8.721;17.084;250;4;9;4.586;19.359;7.917;128.864;52.102;33.462;28.546;1.769;14.712;80;12;0;67;18.163;7.032;55.495;42.088;25;46.470;12.474;4.917;4.080;28;48;0;12.284;2.192;4.682;59;589; 3.133.994 
octubre-08;1.809;83.138;17.499;9.426;1.060;77.067;11.215;25.514;131.619;78;1.666;1.046;21;165;30.092;882;25.315;6.598;15.129;4.445;31.689;5.816;2.353;1.482;13.269;11.293;1.272.523;12.835;13.229;37.782;4.953;27.373;45.103;13.234;2.705;48;140;16.214;108.559;20.112;49.713;7.389;166;7.794;48;34;15;55.596;24.509;0;50;26.439;39;10.206;5.170;3.365;405;8.659;5.061;40.564;39.450;50.079;11.370;33.396;498;15;32;5.973;22.185;9.888;118.152;12.123;27.438;17.175;59;11.164;0;188;0;2;33.031;14.597;77.926;43.941;20;49.829;36.280;776;7.721;210;67;81;17.164;2.931;7.158;53;413; 2.981.105 
