Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Papel, cartón y sus manufacturas;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Aluminio y sus manufacturas;Manufacturas diversas
enero-08;114.238;11.676;7.490;6.367;51.581;6.395;10.932;19.646;25.396;13.938;3.148
febrero-08;103.883;15.408;9.977;6.907;42.006;4.671;14.822;24.877;30.211;19.102;5.489
marzo-08;111.192;16.742;8.003;6.642;45.426;6.303;13.957;24.023;34.121;24.062;7.645
abril-08;121.131;19.380;8.311;6.480;57.718;6.081;12.599;20.818;27.790;23.709;7.312
mayo-08;112.231;21.352;6.913;4.024;56.512;5.881;14.205;24.808;37.729;19.861;7.800
junio-08;111.129;16.671;8.607;4.668;49.717;6.545;16.003;28.134;28.755;17.309;6.766
julio-08;138.696;18.251;7.659;4.462;64.938;7.564;15.799;31.398;30.896;20.757;7.982
agosto-08;122.403;15.510;8.394;5.668;41.294;4.130;12.322;32.857;24.610;16.668;5.198
septiembre-08;109.644;16.298;3.848;4.340;51.937;4.586;7.917;33.462;28.546;14.712;4.682
octubre-08;108.559;20.112;7.389;7.794;55.596;5.973;9.888;27.438;17.175;11.164;7.158
noviembre-08;86.575;12.265;7.292;6.340;50.857;5.777;8.258;19.325;5.154;15.036;9.801
diciembre-08;92.982;12.870;7.009;5.289;56.916;6.657;9.815;41.538;3.434;12.029;9.465
enero-09;86.540;15.045;5.351;3.511;56.130;3.407;15.526;24.598;2.596;8.123;6.362
febrero-09;94.303;15.286;4.321;4.229;54.441;6.018;13.755;52.327;5.334;6.437;6.386
marzo-09;91.017;14.738;4.920;5.217;56.321;6.201;15.486;13.769;7.052;9.667;8.393
abril-09;78.573;11.168;5.576;4.425;47.270;5.616;12.753;13.720;8.479;9.978;5.050
mayo-09;78.613;11.719;4.472;4.530;47.221;4.830;16.217;13.927;11.551;11.363;4.782
junio-09;86.764;11.988;4.912;4.250;54.839;4.779;10.539;12.551;13.418;11.148;6.925
julio-09;92.399;11.286;5.569;4.489;51.089;3.976;15.820;11.869;17.129;11.389;5.687
agosto-09;93.172;9.742;4.719;2.567;41.594;4.017;10.384;13.312;16.673;9.525;5.309
septiembre-09;102.138;13.433;5.973;4.199;42.225;4.952;13.531;15.326;23.281;13.046;4.934
octubre-09;100.637;10.403;5.087;2.573;39.457;4.651;12.374;11.445;21.292;14.015;5.233
noviembre-09;94.796;10.673;5.281;2.868;36.447;3.386;10.817;12.896;26.359;12.881;4.154
diciembre-09;100.455;11.988;6.920;3.141;42.549;5.114;15.878;15.547;23.402;13.638;4.393
enero-10;90.351;7.830;3.951;1.790;42.854;2.925;7.889;10.221;21.448;9.195;3.282
febrero-10;72.120;9.543;4.820;3.124;39.985;4.375;13.901;21.749;40.248;13.210;3.992
marzo-10;117.962;15.702;7.096;4.757;48.511;5.428;14.448;17.187;40.969;15.086;5.508
abril-10;123.293;10.625;5.904;2.368;48.263;6.464;14.026;13.555;28.297;16.300;6.097
mayo-10;125.968;13.301;8.536;2.676;50.558;5.666;16.394;18.944;38.110;14.519;5.710
junio-10;95.751;15.487;5.573;2.626;41.010;4.555;13.315;17.441;17.323;13.582;6.344
julio-10;94.346;11.180;5.198;1.598;40.640;5.096;10.773;15.044;13.727;11.375;5.769
agosto-10;102.415;9.893;6.379;3.525;41.224;3.713;15.637;11.108;23.170;11.934;4.708
septiembre-10;95.897;14.428;6.467;4.181;46.301;4.536;20.345;19.262;30.940;11.432;6.237
octubre-10;114.216;15.365;6.725;2.697;41.372;5.256;12.219;14.108;24.575;15.424;5.293
noviembre-10;123.229;9.148;7.512;2.650;42.352;4.035;14.078;13.065;22.503;11.826;5.055
diciembre-10;101.252;14.156;8.838;2.876;41.411;3.678;17.965;15.092;28.038;13.444;6.124
enero-11;89.888;6.739;4.811;1.402;39.674;4.256;13.919;12.719;17.765;10.416;4.405
febrero-11;97.736;17.029;6.989;2.407;30.502;2.894;20.779;10.881;44.217;12.621;5.395
marzo-11;143.918;21.504;7.499;3.815;57.450;5.329;16.994;16.944;43.039;15.886;6.159
abril-11;140.390;12.282;6.040;2.937;47.816;4.398;13.303;26.135;26.508;14.362;5.248
mayo-11;128.075;15.463;7.042;2.196;55.060;4.992;20.762;8.888;19.550;12.512;5.746
junio-11;126.505;17.376;6.276;2.890;53.150;5.602;17.376;22.431;34.915;16.195;5.260
julio-11;161.364;14.209;6.212;3.039;53.483;5.358;14.263;15.293;37.451;11.856;7.923
agosto-11;146.165;19.021;7.093;2.883;50.775;5.580;15.360;24.094;26.106;12.951;5.976
septiembre-11;117.855;21.384;6.189;2.884;51.050;5.457;14.432;29.338;23.252;10.397;5.152
octubre-11;121.554;13.023;6.413;3.035;44.786;4.804;17.195;19.216;26.110;15.561;6.086
noviembre-11;114.858;17.025;8.921;3.069;47.523;4.558;15.061;21.132;32.558;12.063;4.779
diciembre-11;121.895;13.638;6.988;2.613;51.029;5.814;20.785;17.797;24.621;10.578;5.000
enero-12;118.234;12.937;4.259;2.343;38.768;4.367;16.692;11.381;28.741;9.349;14.391
febrero-12;124.968;14.076;4.923;2.506;32.520;4.771;27.059;20.725;31.787;14.865;18.509
