Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Corcho y sus manufacturas;Manufactura de espartería y cestería;Papel, cartón y sus manufacturas;Plumas, flores artificiales; manufactura de cabellos;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Níquel y sus manufacturas;Aluminio y sus manufacturas;Plomo y manufacturas;Zinc y manufacturas;Estaño y manufacturas;Demás metales comunes, "cermets" y manufacturas;Manufacturas diversas de metales comunes;Manufacturas diversas
enero-08;114.238;11.676;7.490;6.367;0;61;51.581;9;6.395;10.932;19.646;25.396;2;13.938;380;0;0;0;4.311;3.148
febrero-08;103.883;15.408;9.977;6.907;2;43;42.006;8;4.671;14.822;24.877;30.211;3.892;19.102;431;8;0;0;4.493;5.489
marzo-08;111.192;16.742;8.003;6.642;1;9;45.426;26;6.303;13.957;24.023;34.121;11;24.062;1.389;1;0;120;5.159;7.645
abril-08;121.131;19.380;8.311;6.480;27;25;57.718;60;6.081;12.599;20.818;27.790;46;23.709;905;90;3;52;7.640;7.312
mayo-08;112.231;21.352;6.913;4.024;13;28;56.512;9;5.881;14.205;24.808;37.729;698;19.861;1.298;93;0;0;6.416;7.800
junio-08;111.129;16.671;8.607;4.668;16;20;49.717;23;6.545;16.003;28.134;28.755;36;17.309;206;5;0;10;4.915;6.766
julio-08;138.696;18.251;7.659;4.462;4;25;64.938;37;7.564;15.799;31.398;30.896;1.497;20.757;156;0;0;2;5.095;7.982
agosto-08;122.403;15.510;8.394;5.668;48;8;41.294;37;4.130;12.322;32.857;24.610;2.843;16.668;996;1;0;33;5.494;5.198
septiembre-08;109.644;16.298;3.848;4.340;66;5;51.937;9;4.586;7.917;33.462;28.546;1.769;14.712;80;12;0;67;7.032;4.682
octubre-08;108.559;20.112;7.389;7.794;48;34;55.596;32;5.973;9.888;27.438;17.175;59;11.164;0;188;0;2;14.597;7.158
noviembre-08;86.575;12.265;7.292;6.340;72;13;50.857;38;5.777;8.258;19.325;5.154;1.173;15.036;29;16;44;1;14.837;9.801
diciembre-08;92.982;12.870;7.009;5.289;14;8;56.916;10;6.657;9.815;41.538;3.434;1.759;12.029;137;18;0;183;14.405;9.465
enero-09;86.540;15.045;5.351;3.511;23;11;56.130;26;3.407;15.526;24.598;2.596;0;8.123;89;87;14;1;6.199;6.362
febrero-09;94.303;15.286;4.321;4.229;8;6;54.441;23;6.018;13.755;52.327;5.334;435;6.437;10;0;2;66;8.325;6.386
marzo-09;91.017;14.738;4.920;5.217;2;27;56.321;0;6.201;15.486;13.769;7.052;430;9.667;0;3;3;168;8.786;8.393
abril-09;78.573;11.168;5.576;4.425;44;2;47.270;24;5.616;12.753;13.720;8.479;456;9.978;117;0;0;121;4.028;5.050
mayo-09;78.613;11.719;4.472;4.530;40;30;47.221;38;4.830;16.217;13.927;11.551;710;11.363;250;61;0;84;4.287;4.782
junio-09;86.764;11.988;4.912;4.250;5;46;54.839;47;4.779;10.539;12.551;13.418;1.053;11.148;34;1;0;241;3.923;6.925
julio-09;92.399;11.286;5.569;4.489;10;8;51.089;28;3.976;15.820;11.869;17.129;776;11.389;180;77;0;110;3.151;5.687
agosto-09;93.172;9.742;4.719;2.567;12;15;41.594;24;4.017;10.384;13.312;16.673;14;9.525;23;36;3;174;2.784;5.309
septiembre-09;102.138;13.433;5.973;4.199;2;28;42.225;18;4.952;13.531;15.326;23.281;1.690;13.046;541;2;0;519;3.743;4.934
octubre-09;100.637;10.403;5.087;2.573;29;20;39.457;66;4.651;12.374;11.445;21.292;0;14.015;567;40;0;235;3.271;5.233
noviembre-09;94.796;10.673;5.281;2.868;1;17;36.447;36;3.386;10.817;12.896;26.359;1.657;12.881;469;3;0;142;2.224;4.154
diciembre-09;100.455;11.988;6.920;3.141;2;5;42.549;44;5.114;15.878;15.547;23.402;1.200;13.638;924;69;0;98;2.865;4.393
enero-10;90.351;7.830;3.951;1.790;8;0;42.854;8;2.925;7.889;10.221;21.448;1.333;9.195;578;0;0;26;1.916;3.282
febrero-10;72.120;9.543;4.820;3.124;18;67;39.985;34;4.375;13.901;21.749;40.248;25;13.210;1.729;28;0;225;3.160;3.992
marzo-10;117.962;15.702;7.096;4.757;14;36;48.511;75;5.428;14.448;17.187;40.969;1.616;15.086;549;45;0;124;3.480;5.508
abril-10;123.293;10.625;5.904;2.368;7;33;48.263;0;6.464;14.026;13.555;28.297;2.056;16.300;995;1;0;31;3.048;6.097
mayo-10;125.968;13.301;8.536;2.676;7;4;50.558;5;5.666;16.394;18.944;38.110;1.480;14.519;1.752;35;0;246;3.166;5.710
junio-10;95.751;15.487;5.573;2.626;12;6;41.010;21;4.555;13.315;17.441;17.323;3.236;13.582;742;1;0;213;3.343;6.344
julio-10;94.346;11.180;5.198;1.598;12;6;40.640;9;5.096;10.773;15.044;13.727;2.470;11.375;547;120;0;0;2.263;5.769
agosto-10;102.415;9.893;6.379;3.525;14;45;41.224;26;3.713;15.637;11.108;23.170;1.252;11.934;1.740;157;0;53;2.561;4.708
