Fecha;automoviles;camperos_camionetas;transp_publico;vehiculos_carga;total_unidades
Enero 2003;3.819;1.166;1.473;467;6.925
Febrero 2003;4.434;1.301;1.396;697;7.828
Marzo 2003;4.564;1.416;1.986;695;8.661
Abril 2003;4.290;1.299;1.860;495;7.944
Mayo 2003;5.055;1.447;1.470;406;8.378
Junio 2003;4.036;1.130;1.214;264;6.644
Julio 2003;4.603;1.621;1.624;453;8.301
Agosto 2003;4.690;1.599;1.840;538;8.667
Septiembre 2003;4.677;1.643;1.910;706;8.936
Octubre 2003;4.985;2.028;1.911;546;9.470
Noviembre 2003;5.384;1.963;1.953;528;9.828
Diciembre 2003;5.156;2.113;1.527;568;9.364
Enero 2004;4.125;1.943;1.302;530;7.900
Febrero 2004;4.930;2.138;1.889;540;9.497
Marzo 2004;5.786;2.299;1.906;555;10.546
Abril 2004;5.938;2.131;1.594;524;10.187
Mayo 2004;6.443;2.060;1.604;373;10.480
Junio 2004;6.603;2.228;1.419;590;10.840
Julio 2004;6.576;2.296;2.203;462;11.537
Agosto 2004;7.349;2.565;2.049;566;12.529
Septiembre 2004;7.549;2.382;2.137;541;12.609
Octubre 2004;7.845;2.568;2.743;803;13.959
Noviembre 2004;8.785;3.006;2.389;845;15.025
Diciembre 2004;9.739;2.846;1.711;708;15.004
Enero 2005;6.779;2.584;1.704;514;11.581
Febrero 2005;7.676;3.338;1.836;811;13.661
Marzo 2005;7.862;3.065;1.924;809;13.660
Abril 2005;9.102;3.309;2.145;974;15.530
Mayo 2005;9.128;3.010;2.122;914;15.174
Junio 2005;8.934;3.157;2.238;1.017;15.346
Julio 2005;8.656;2.827;2.251;1.026;14.760
Agosto 2005;9.258;3.087;2.371;1.071;15.787
Septiembre 2005;9.833;3.295;3.164;1.162;17.454
Octubre 2005;9.117;3.171;3.069;1.186;16.543
Noviembre 2005;9.868;3.152;1.911;1.493;16.424
Diciembre 2005;11.374;3.317;1.556;1.343;17.590
Enero 2006;9.108;2.811;1.363;1.098;14.380
Febrero 2006;10.923;3.140;2.233;1.175;17.471
Marzo 2006;10.879;3.618;1.378;1.531;17.406
Abril 2006;9.770;3.185;2.413;1.264;16.632
Mayo 2006;11.476;3.468;2.003;1.702;18.649
Junio 2006;10.589;4.256;1.792;1.684;18.321
Julio 2006;10.847;4.352;2.303;1.644;19.146
Agosto 2006;12.799;4.263;2.956;1.741;21.759
Septiembre 2006;14.187;4.911;2.670;1.818;23.586
Octubre 2006;14.882;5.347;3.344;1.833;25.406
Noviembre 2006;14.319;5.765;2.491;1.842;24.417
Diciembre 2006;13.311;5.112;1.239;1.456;21.118
Enero 2007;12.698;4.671;3.547;1.713;22.629
Febrero 2007;14.096;4.653;2.506;1.869;23.124
Marzo 2007;13.504;4.086;1.617;2.054;21.261
Abril 2007;14.779;4.563;3.311;1.934;24.587
Mayo 2007;17.018;4.965;2.454;1.776;26.213
Junio 2007;16.035;4.752;2.713;1.754;25.254
Julio 2007;16.039;5.392;2.365;1.751;25.547
Agosto 2007;17.319;5.315;2.574;1.724;26.932
Septiembre 2007;17.067;5.468;1.894;1.761;26.190
Octubre 2007;16.343;5.238;3.282;1.863;26.726
Noviembre 2007;17.566;5.921;2.808;2.047;28.342
Diciembre 2007;15.873;5.948;2.184;1.731;25.736
Enero 2008;10.440;4.725;1.857;878;17.900
Febrero 2008;11.476;5.177;1.479;1.235;19.367
Marzo 2008;10.508;4.389;2.320;1.577;18.794
Abril 2008;11.813;4.476;1.997;1.817;20.103
Mayo 2008;11.145;3.954;1.566;1.611;18.276
Junio 2008;9.568;4.142;1.269;991;15.970
Julio 2008;10.937;4.614;1.775;849;18.175
Agosto 2008;11.286;4.137;2.066;1.026;18.515
Septiembre 2008;11.742;5.721;2.450;1.597;21.510
Octubre 2008;11.591;5.297;2.377;1.237;20.502
Noviembre 2008;10.781;4.835;1.405;783;17.804
Diciembre 2008;8.478;3.904;1.213;1.001;14.596
Enero 2009;6.738;3.421;1.877;824;12.860
Febrero 2009;7.522;3.607;1.887;936;13.952
Marzo 2009;8.169;2.977;2.066;1.145;14.357
Abril 2009;7.137;2.529;1.473;644;11.783
Mayo 2009;7.952;2.971;1.594;715;13.232
Junio 2009;8.313;2.722;1.448;621;13.104
Julio 2009;8.980;3.412;1.841;695;14.928
Agosto 2009;8.838;3.226;1.784;665;14.513
Septiembre 2009;9.354;3.042;2.251;712;15.359
Octubre 2009;10.430;4.054;1.988;828;17.300
Noviembre 2009;10.412;4.770;1.405;722;17.309
Diciembre 2009;10.880;4.504;835;779;16.998
Enero 2010;9.297;3.613;1.678;802;15.390
Febrero 2010;9.375;4.086;1.742;919;16.122
Marzo 2010;10.706;5.292;2.151;1.215;19.364
Abril 2010;10.912;4.376;1.865;1.038;18.191
Mayo 2010;11.675;4.943;2.149;1.110;19.877
Junio 2010;11.983;5.424;1.305;1.141;19.853
Julio 2010;13.069;5.718;2.482;1.273;22.542
Agosto 2010;14.333;5.807;1.111;1.193;22.444
Septiembre 2010;14.509;7.128;3.361;1.272;26.270
Octubre 2010;15.908;6.528;1.094;1.323;24.853
Noviembre 2010;19.359;8.056;2.981;1.193;31.589
Diciembre 2010;14.980;7.638;1.650;1.062;25.330
Enero 2011;13.497;5.564;1.765;1.045;21.871
Febrero 2011;15.931;6.552;1.568;1.288;25.339
Marzo 2011;19.788;7.286;2.044;1.821;30.939
Abril 2011;18.241;6.806;1.493;1.497;28.037
Mayo 2011;18.058;6.328;1.785;1.016;27.187
Junio 2011;18.700;5.521;1.708;799;26.728
Julio 2011;16.925;6.174;1.941;1.501;26.541
Agosto 2011;15.777;6.882;2.207;2.149;27.015
Septiembre 2011;15.923;6.769;2.153;1.938;26.783
Octubre 2011;16.467;5.969;2.048;1.486;25.970
Noviembre 2011;17.551;7.388;1.977;2.289;29.205
Diciembre 2011;16.388;6.825;1.609;1.948;26.770
Enero 2012;11.606;4.666;2.163;1.647;20.082
Febrero 2012;15.419;6.850;1.970;1.730;25.969
Marzo 2012;18.550;7.660;2.006;1.907;30.123
Abril 2012;16.054;7.477;879;1.690;26.100
Mayo 2012;16.698;7.480;2.314;1.970;28.462
Junio 2012;18.019;6.980;1.646;1.596;28.241
Julio 2012;13.661;6.624;1.643;1.444;23.372
Agosto 2012;14.286;7.138;1.609;1.428;24.461
Septiembre 2012;14.631;7.392;1.567;1.346;24.936
Octubre 2012;13.697;11.680;1.531;1.435;28.343
Noviembre 2012;17.176;14.391;1.723;1.292;34.582
Diciembre 2012;13.940;13.335;1.780;1.309;30.364
Enero 2013;10.358;8.093;1.524;1.316;21.291
Febrero 2013;12.690;9.459;2.368;1.600;26.117
Marzo 2013;13.952;10.434;2.018;1.457;27.861
Abril 2013;13.409;11.332;2.738;1.801;29.280
Mayo 2013;13.253;11.081;2.493;1.909;28.736
Junio 2013;13.649;9.044;2.430;1.588;26.711
Julio 2013;12.850;8.546;2.445;1.803;25.644
Agosto 2013;13.545;9.474;2.140;1.720;26.879
Septiembre 2013;13.813;11.271;2.515;1.695;29.294
Octubre 2013;13.758;12.174;2.516;1.919;30.367
Noviembre 2013;15.445;10.455;1.866;1.550;29.316
Diciembre 2013;14.592;10.029;2.232;1.690;28.543
Enero 2014;9.604;6.748;1.753;1.675;19.780
Febrero 2014;12.639;9.173;2.234;1.827;25.873
Marzo 2014;14.523;10.493;2.807;2.078;29.901
Abril 2014;15.090;10.659;2.511;1.939;30.199
Mayo 2014;15.563;10.042;2.350;2.068;30.023
Junio 2014;12.523;9.008;1.867;1.911;25.309
Julio 2014;14.829;9.618;2.495;2.319;29.261
Agosto 2014;17.779;9.788;2.172;1.813;31.552
Septiembre 2014;17.836;11.385;2.448;2.212;33.881
Octubre 2014;17.368;10.888;2.346;2.291;32.893
Noviembre 2014;17.303;12.269;2.247;2.474;34.293
Diciembre 2014;16.201;10.709;2.430;2.744;32.084
Enero 2015;8.253;6.038;1.582;1.412;17.285
Febrero 2015;15.103;7.663;2.009;1.951;26.726
Marzo 2015;15.734;8.745;1.986;2.188;28.653
Abril 2015;14.227;9.570;1.625;1.609;27.031
Mayo 2015;13.154;7.996;1.612;1.570;24.332
Junio 2015;13.110;9.207;1.493;1.520;25.330
Julio 2015;14.537;8.506;2.027;1.952;27.022
Agosto 2015;12.887;8.710;1.921;1.639;25.157
Septiembre 2015;13.002;9.055;1.733;1.436;25.226
Octubre 2015;14.402;8.427;1.532;1.285;25.646
Noviembre 2015;17.181;7.896;1.680;1.340;28.097
Diciembre 2015;16.451;8.574;1.357;1.456;27.838
Enero 2016;10.130;5.843;1.554;1.142;18.669
Febrero 2016;12.112;5.530;1.128;1.444;20.214
Marzo 2016;12.488;9.508;829;1.420;24.245
Abril 2016;12.848;8.439;918;1.110;23.315
Mayo 2016;12.634;7.708;1.261;1.402;23.005
Junio 2016;15.307;7.658;1.008;1.180;25.153
Julio 2016;8.820;5.614;1.006;1.170;16.610
Agosto 2016;13.683;9.015;1.048;1.304;25.050
Septiembre 2016;15.079;8.520;1.127;1.309;26.035
Octubre 2016;12.528;9.967;1.306;1.332;25.133
Noviembre 2016;14.776;11.973;1.232;2.020;30.001
Diciembre 2016;18.015;10.836;1.281;1.406;31.538
Enero 2017;10.746;7.086;1.379;712;19.923
Febrero 2017;12.010;7.621;1.396;793;21.820
